Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Spike 1.4                  :    100 (  52,  35,  13),  69.5 :  +195.0,  12.5,  100.0
    Junior 12.5.0.3            :    100 (  73,  19,   8),  82.5 :  +244.4,  13.0,  100.0
    Zappa Mexico II            :    100 (  69,  24,   7),  81.0 :  +263.3,  13.8,  100.0

 9) Texel 1.07          3110.0 :   1400 (+367,=434,-599),  41.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,   4,  96),   2.0 :  -586.3,  17.5,    0.0
    Komodo Dragon 2            :    100 (   0,  13,  87),   6.5 :  -529.4,  16.0,    0.0
    Ethereal 13.00             :    100 (   3,  22,  75),  14.0 :  -385.5,  13.9,    0.0
    Stockfish 9                :    100 (   1,  21,  78),  11.5 :  -371.0,  10.0,    0.0
    Komodo 9.02                :    100 (   6,  38,  56),  25.0 :  -217.5,  14.5,    0.0
    Shredder 13                :    100 (   8,  35,  57),  25.5 :  -177.3,  11.9,    0.0
    Rybka 4.1                  :    100 (  18,  43,  39),  39.5 :   -37.5,  12.4,    0.1
    Senpai 2.0                 :    100 (  24,  52,  24),  50.0 :    -1.6,  10.9,   44.0
    iCE 3.0                    :    100 (  32,  44,  24),  54.0 :   +29.0,  10.0,   99.8
    Arasan 20.4.1              :    100 (  30,  49,  21),  54.5 :   +29.4,  11.8,   99.4
    Hiarcs 14                  :    100 (  36,  43,  21),  57.5 :  +120.6,  12.2,  100.0
    Spike 1.4                  :    100 (  65,  30,   5),  80.0 :  +193.4,  12.7,  100.0
    Junior 12.5.0.3            :    100 (  71,  21,   8),  81.5 :  +242.8,  13.3,  100.0
    Zappa Mexico II            :    100 (  73,  19,   8),  82.5 :  +261.6,  13.2,  100.0

10) iCE 3.0             3081.0 :   1650 (+412,=523,-715),  40.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,  13,  87),   6.5 :  -615.3,  17.3,    0.0
    Komodo Dragon 2            :    100 (   0,  11,  89),   5.5 :  -558.4,  16.2,    0.0
    Ethereal 13.00             :    100 (   1,  19,  80),  10.5 :  -414.5,  14.5,    0.0
    Stockfish 9                :    100 (   1,   9,  90),   5.5 :  -400.0,   0.0,    0.0
    Komodo 9.02                :    100 (   3,  26,  71),  16.0 :  -246.4,  12.3,    0.0
    Shredder 13                :    100 (   3,  36,  61),  21.0 :  -206.3,  10.7,    0.0
    Rybka 4.1                  :    100 (  16,  48,  36),  40.0 :   -66.5,  12.0,    0.0
    Senpai 2.0                 :    150 (  32,  76,  42),  46.7 :   -30.6,   9.9,    0.1
    Texel 1.07                 :    100 (  24,  44,  32),  46.0 :   -29.0,  10.0,    0.2
    Arasan 20.4.1              :    150 (  51,  66,  33),  56.0 :    +0.4,   9.5,   51.6
    Ethereal 9.04              :     50 (  19,  18,  13),  56.0 :   +58.3,  10.4,  100.0
    Hiarcs 14                  :    100 (  43,  35,  22),  60.5 :   +91.7,  11.2,  100.0
    Hakkapeliitta 3.0          :     50 (  15,  21,  14),  51.0 :   +96.0,  10.4,  100.0
    Crafty 25.2                :     50 (  31,  14,   5),  76.0 :  +107.6,  10.6,  100.0
    Spike 1.4                  :    100 (  59,  29,  12),  73.5 :  +164.4,  12.7,  100.0
    Junior 12.5.0.3            :    100 (  56,  28,  16),  70.0 :  +213.8,  13.2,  100.0
    Zappa Mexico II            :    100 (  58,  30,  12),  73.0 :  +232.6,  14.1,  100.0

11) Arasan 20.4.1       3080.6 :   1650 (+425,=513,-712),  41.3 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,   8,  92),   4.0 :  -615.7,  19.0,    0.0
    Komodo Dragon 2            :    100 (   0,   7,  93),   3.5 :  -558.8,  16.6,    0.0
    Ethereal 13.00             :    100 (   0,  11,  89),   5.5 :  -414.8,  16.0,    0.0
    Stockfish 9                :    100 (   0,  11,  89),   5.5 :  -400.4,   9.5,    0.0
    Komodo 9.02                :    100 (   5,  24,  71),  17.0 :  -246.8,  12.6,    0.0
    Shredder 13                :    100 (   4,  37,  59),  22.5 :  -206.7,  11.9,    0.0
    Rybka 4.1                  :    100 (  27,  44,  29),  49.0 :   -66.9,  11.6,    0.0
    Senpai 2.0                 :    150 (  36,  66,  48),  46.0 :   -31.0,  11.3,    0.3
    Texel 1.07                 :    100 (  21,  49,  30),  45.5 :   -29.4,  11.8,    0.6
    iCE 3.0                    :    150 (  33,  66,  51),  44.0 :    -0.4,   9.5,   48.4
    Ethereal 9.04              :     50 (  24,  17,   9),  65.0 :   +57.9,  13.3,  100.0
    Hiarcs 14                  :    100 (  47,  36,  17),  65.0 :   +91.3,  11.4,  100.0
    Hakkapeliitta 3.0          :     50 (  23,  20,   7),  66.0 :   +95.6,  12.9,  100.0
    Crafty 25.2                :     50 (  28,  20,   2),  76.0 :  +107.2,  13.5,  100.0
    Spike 1.4                  :    100 (  48,  39,  13),  67.5 :  +164.0,  12.9,  100.0
    Junior 12.5.0.3            :    100 (  66,  26,   8),  79.0 :  +213.4,  12.6,  100.0
    Zappa Mexico II            :    100 (  63,  32,   5),  79.0 :  +232.3,  15.7,  100.0

12) Ethereal 9.04       3022.7 :   1350 (+716,=417,-217),  68.5 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Senpai 2.0                 :     50 (   7,  21,  22),  35.0 :   -88.9,  12.7,    0.0
    iCE 3.0                    :     50 (  13,  18,  19),  44.0 :   -58.3,  10.4,    0.0
    Arasan 20.4.1              :     50 (   9,  17,  24),  35.0 :   -57.9,  13.3,    0.0
    Hakkapeliitta 3.0          :    150 (  55,  61,  34),  57.0 :   +37.7,  11.2,  100.0
    Crafty 25.2                :    150 (  52,  58,  40),  54.0 :   +49.3,  10.4,  100.0
    DiscoCheck 5.2.1           :    100 (  51,  35,  14),  68.5 :   +85.3,  11.4,  100.0
    Rodent III                 :    100 (  45,  40,  15),  65.0 :  +113.6,  12.2,  100.0
    Gaviota 1.0                :    100 (  58,  28,  14),  72.0 :  +164.2,  12.8,  100.0
    Sjeng 3.0                  :    100 (  66,  27,   7),  79.5 :  +191.2,  11.4,  100.0
    Pawny 1.2                  :    100 (  69,  22,   9),  80.0 :  +233.8,  11.9,  100.0
    Fruit 2.3                  :    100 (  67,  22,  11),  78.0 :  +239.7,  12.8,  100.0
    Marvin 3.0                 :    100 (  76,  20,   4),  86.0 :  +321.0,  11.1,  100.0
    Djinn 1.021                :    100 (  72,  25,   3),  84.5 :  +348.7,  10.4,  100.0
    Rodin 8.0                  :    100 (  76,  23,   1),  87.5 :  +356.5,  11.2,  100.0

13) Hiarcs 14           2989.3 :   1400 (+222,=375,-803),  29.3 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,   5,  95),   2.5 :  -707.0,  19.5,    0.0
    Komodo Dragon 2            :    100 (   0,   4,  96),   2.0 :  -650.0,  18.2,    0.0
    Ethereal 13.00             :    100 (   0,   7,  93),   3.5 :  -506.1,  15.6,    0.0
    Stockfish 9                :    100 (   0,   5,  95),   2.5 :  -491.7,  11.2,    0.0
    Komodo 9.02                :    100 (   2,  18,  80),  11.0 :  -338.1,  15.1,    0.0
    Shredder 13                :    100 (   2,  28,  70),  16.0 :  -298.0,  12.2,    0.0
    Rybka 4.1                  :    100 (  11,  38,  51),  30.0 :  -158.1,  12.9,    0.0
    Senpai 2.0                 :    100 (   7,  42,  51),  28.0 :  -122.3,  12.1,    0.0
    Texel 1.07                 :    100 (  21,  43,  36),  42.5 :  -120.6,  12.2,    0.0
    iCE 3.0                    :    100 (  22,  35,  43),  39.5 :   -91.7,  11.2,    0.0
    Arasan 20.4.1              :    100 (  17,  36,  47),  35.0 :   -91.3,  11.4,    0.0
    Spike 1.4                  :    100 (  47,  33,  20),  63.5 :   +72.7,  13.7,  100.0
    Junior 12.5.0.3            :    100 (  43,  40,  17),  63.0 :  +122.1,  13.3,  100.0
    Zappa Mexico II            :    100 (  50,  41,   9),  70.5 :  +141.0,  14.4,  100.0

14) Hakkapeliitta 3.0   2985.0 :   1650 (+652,=432,-566),  52.6 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,   3,  97),   1.5 :  -711.3,  18.7,    0.0
    Komodo Dragon 2            :    100 (   0,   5,  95),   2.5 :  -654.3,  18.4,    0.0
    Ethereal 13.00             :    100 (   1,   7,  92),   4.5 :  -510.4,  17.1,    0.0
    Senpai 2.0                 :     50 (   6,  17,  27),  29.0 :  -126.6,  12.1,    0.0
    iCE 3.0                    :     50 (  14,  21,  15),  49.0 :   -96.0,  10.4,    0.0
    Arasan 20.4.1              :     50 (   7,  20,  23),  34.0 :   -95.6,  12.9,    0.0
    Ethereal 9.04              :    150 (  34,  61,  55),  43.0 :   -37.7,  11.2,    0.0
    Crafty 25.2                :    150 (  43,  61,  46),  49.0 :   +11.6,  11.9,   83.5
    DiscoCheck 5.2.1           :    100 (  46,  29,  25),  60.5 :   +47.6,  11.2,  100.0
    Rodent III                 :    100 (  42,  39,  19),  61.5 :   +75.9,  11.8,  100.0
    Gaviota 1.0                :    100 (  57,  26,  17),  70.0 :  +126.5,  11.6,  100.0
    Sjeng 3.0                  :    100 (  55,  28,  17),  69.0 :  +153.5,  12.1,  100.0
    Pawny 1.2                  :    100 (  63,  25,  12),  75.5 :  +196.1,  12.4,  100.0
    Fruit 2.3                  :    100 (  67,  22,  11),  78.0 :  +202.0,  12.3,  100.0
    Marvin 3.0                 :    100 (  74,  23,   3),  85.5 :  +283.3,  11.0,  100.0
    Djinn 1.021                :    100 (  74,  21,   5),  84.5 :  +311.0,  10.4,  100.0
    Rodin 8.0                  :    100 (  69,  24,   7),  81.0 :  +318.8,  10.8,  100.0

15) Crafty 25.2         2973.4 :   1350 (+624,=428,-298),  62.1 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
