Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Bumblebee 1.0              :    100 (  33,  38,  29),  52.0 :   -14.3,  11.6,   10.9
    Gaia 3.5                   :    150 (  51,  40,  59),  47.3 :    +2.3,  10.3,   58.7
    Myrddin 0.87               :     50 (  22,  10,  18),  54.0 :   +46.3,  12.6,  100.0
    GreKo 6.5                  :    150 (  68,  44,  38),  60.0 :   +61.7,  11.2,  100.0
    Sungorus 1.4               :     50 (  21,  18,  11),  60.0 :  +124.6,  10.4,  100.0

41) Gaia 3.5            2432.4 :   1350 (+423,=296,-631),  42.3 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  14,  21,  65),  24.5 :  -204.9,   9.2,    0.0
    Rotor 0.8                  :    100 (  16,  23,  61),  27.5 :  -179.3,  10.0,    0.0
    Floyd 0.9                  :    100 (  29,  16,  55),  37.0 :  -164.3,  10.3,    0.0
    Maverick 1.5               :    100 (  21,  16,  63),  29.0 :  -159.8,   9.1,    0.0
    Schooner 1.8               :    100 (  27,  25,  48),  39.5 :   -95.0,  10.9,    0.0
    LittleThought 1.052        :    100 (  26,  23,  51),  37.5 :   -52.4,  10.6,    0.0
    Ghost 3.1                  :    100 (  28,  26,  46),  41.0 :   -41.3,  10.3,    0.0
    Winter 0.1.1               :     50 (  14,  12,  24),  40.0 :   -26.6,  12.5,    1.7
    MadChess 2.2               :    100 (  32,  22,  46),  43.0 :   -24.4,  11.5,    1.7
    Bumblebee 1.0              :    100 (  37,  18,  45),  46.0 :   -16.5,  11.9,    8.3
    Orion 0.4                  :    150 (  59,  40,  51),  52.7 :    -2.3,  10.3,   41.3
    Myrddin 0.87               :     50 (  23,   9,  18),  55.0 :   +44.0,  14.1,   99.9
    GreKo 6.5                  :    150 (  70,  38,  42),  59.3 :   +59.4,  10.7,  100.0
    Sungorus 1.4               :     50 (  27,   7,  16),  61.0 :  +122.4,  11.1,  100.0

42) Myrddin 0.87        2388.4 :   1350 (+853,=217,-280),  71.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    150 (  44,  29,  77),  39.0 :   -70.6,  13.5,    0.0
    Orion 0.4                  :     50 (  18,  10,  22),  46.0 :   -46.3,  12.6,    0.0
    Gaia 3.5                   :     50 (  18,   9,  23),  45.0 :   -44.0,  14.1,    0.1
    GreKo 6.5                  :     50 (  20,  16,  14),  56.0 :   +15.4,  13.8,   86.8
    Sungorus 1.4               :    150 (  70,  30,  50),  56.7 :   +78.4,  11.1,  100.0
    Waxman 2017                :    100 (  61,  16,  23),  69.0 :  +134.9,  11.6,  100.0
    Zevra 1.8.4                :    100 (  59,  25,  16),  71.5 :  +159.6,  12.6,  100.0
    Napoleon 1.8               :    100 (  63,  24,  13),  75.0 :  +178.6,  12.6,  100.0
    Galjoen 0.37.2             :    100 (  62,  19,  19),  71.5 :  +217.7,  11.7,  100.0
    BikJump 2.01               :    100 (  83,   9,   8),  87.5 :  +279.0,  13.8,  100.0
    Monarch 1.7                :    100 (  83,  11,   6),  88.5 :  +339.9,  14.3,  100.0
    Gerbil 02                  :    100 (  88,   6,   6),  91.0 :  +404.6,  15.2,  100.0
    Faile 1.4                  :    100 (  85,  12,   3),  91.0 :  +407.6,  13.9,  100.0
    TSCP 1.81                  :    100 (  99,   1,   0),  99.5 :  +632.4,  17.1,  100.0

43) GreKo 6.5           2373.0 :   1350 (+296,=321,-733),  33.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (   6,  22,  72),  17.0 :  -264.3,   9.8,    0.0
    Rotor 0.8                  :    100 (  12,  25,  63),  24.5 :  -238.8,  10.8,    0.0
    Floyd 0.9                  :    100 (  16,  16,  68),  24.0 :  -223.7,  10.4,    0.0
    Maverick 1.5               :    100 (  13,  23,  64),  24.5 :  -219.2,   9.8,    0.0
    Schooner 1.8               :    100 (  17,  20,  63),  27.0 :  -154.4,  11.0,    0.0
    LittleThought 1.052        :    100 (  28,  25,  47),  40.5 :  -111.8,  10.8,    0.0
    Ghost 3.1                  :    100 (  22,  20,  58),  32.0 :  -100.7,  10.2,    0.0
    Winter 0.1.1               :     50 (  12,  12,  26),  36.0 :   -86.0,  13.1,    0.0
    MadChess 2.2               :    100 (  28,  21,  51),  38.5 :   -83.8,  12.0,    0.0
    Bumblebee 1.0              :    100 (  22,  23,  55),  33.5 :   -75.9,  12.2,    0.0
    Orion 0.4                  :    150 (  38,  44,  68),  40.0 :   -61.7,  11.2,    0.0
    Gaia 3.5                   :    150 (  42,  38,  70),  40.7 :   -59.4,  10.7,    0.0
    Myrddin 0.87               :     50 (  14,  16,  20),  44.0 :   -15.4,  13.8,   13.2
    Sungorus 1.4               :     50 (  26,  16,   8),  68.0 :   +63.0,  11.0,  100.0

44) Sungorus 1.4        2310.0 :   1350 (+722,=260,-368),  63.1 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    150 (  33,  30,  87),  32.0 :  -148.9,  10.7,    0.0
    Orion 0.4                  :     50 (  11,  18,  21),  40.0 :  -124.6,  10.4,    0.0
    Gaia 3.5                   :     50 (  16,   7,  27),  39.0 :  -122.4,  11.1,    0.0
    Myrddin 0.87               :    150 (  50,  30,  70),  43.3 :   -78.4,  11.1,    0.0
    GreKo 6.5                  :     50 (   8,  16,  26),  32.0 :   -63.0,  11.0,    0.0
    Waxman 2017                :    100 (  49,  24,  27),  61.0 :   +56.5,  12.8,  100.0
    Zevra 1.8.4                :    100 (  51,  24,  25),  63.0 :   +81.2,  11.1,  100.0
    Napoleon 1.8               :    100 (  43,  26,  31),  56.0 :  +100.2,  11.3,  100.0
    Galjoen 0.37.2             :    100 (  51,  29,  20),  65.5 :  +139.4,  11.8,  100.0
    BikJump 2.01               :    100 (  66,  25,   9),  78.5 :  +200.6,  13.1,  100.0
    Monarch 1.7                :    100 (  80,   9,  11),  84.5 :  +261.5,  13.4,  100.0
    Gerbil 02                  :    100 (  84,   7,   9),  87.5 :  +326.2,  14.8,  100.0
    Faile 1.4                  :    100 (  86,  10,   4),  91.0 :  +329.2,  13.8,  100.0
    TSCP 1.81                  :    100 (  94,   5,   1),  96.5 :  +554.0,  16.1,  100.0

45) Waxman 2017         2253.5 :   1100 (+570,=207,-323),  61.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (  10,  19,  71),  19.5 :  -205.4,  13.6,    0.0
    Myrddin 0.87               :    100 (  23,  16,  61),  31.0 :  -134.9,  11.6,    0.0
    Sungorus 1.4               :    100 (  27,  24,  49),  39.0 :   -56.5,  12.8,    0.0
    Zevra 1.8.4                :    100 (  34,  32,  34),  50.0 :   +24.7,  14.0,   96.2
    Napoleon 1.8               :    100 (  43,  30,  27),  58.0 :   +43.7,  13.8,   99.9
    Galjoen 0.37.2             :    100 (  52,  19,  29),  61.5 :   +82.8,  13.1,  100.0
    BikJump 2.01               :    100 (  63,  17,  20),  71.5 :  +144.1,  15.1,  100.0
    Monarch 1.7                :    100 (  70,  18,  12),  79.0 :  +205.0,  14.7,  100.0
    Gerbil 02                  :    100 (  79,  13,   8),  85.5 :  +269.7,  15.8,  100.0
    Faile 1.4                  :    100 (  76,  15,   9),  83.5 :  +272.7,  15.5,  100.0
    TSCP 1.81                  :    100 (  93,   4,   3),  95.0 :  +497.5,  16.3,  100.0

46) Zevra 1.8.4         2228.8 :   1100 (+519,=242,-339),  58.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (  10,  20,  70),  20.0 :  -230.2,  12.6,    0.0
    Myrddin 0.87               :    100 (  16,  25,  59),  28.5 :  -159.6,  12.6,    0.0
    Sungorus 1.4               :    100 (  25,  24,  51),  37.0 :   -81.2,  11.1,    0.0
    Waxman 2017                :    100 (  34,  32,  34),  50.0 :   -24.7,  14.0,    3.8
    Napoleon 1.8               :    100 (  38,  29,  33),  52.5 :   +19.0,  13.1,   92.7
    Galjoen 0.37.2             :    100 (  40,  23,  37),  51.5 :   +58.1,  12.0,  100.0
    BikJump 2.01               :    100 (  54,  24,  22),  66.0 :  +119.4,  13.4,  100.0
    Monarch 1.7                :    100 (  69,  22,   9),  80.0 :  +180.3,  12.9,  100.0
    Gerbil 02                  :    100 (  68,  20,  12),  78.0 :  +245.0,  14.9,  100.0
    Faile 1.4                  :    100 (  72,  19,   9),  81.5 :  +248.0,  13.4,  100.0
    TSCP 1.81                  :    100 (  93,   4,   3),  95.0 :  +472.8,  14.7,  100.0

47) Napoleon 1.8        2209.8 :   1100 (+488,=252,-360),  55.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (   9,  21,  70),  19.5 :  -249.1,  13.7,    0.0
    Myrddin 0.87               :    100 (  13,  24,  63),  25.0 :  -178.6,  12.6,    0.0
    Sungorus 1.4               :    100 (  31,  26,  43),  44.0 :  -100.2,  11.3,    0.0
    Waxman 2017                :    100 (  27,  30,  43),  42.0 :   -43.7,  13.8,    0.1
    Zevra 1.8.4                :    100 (  33,  29,  38),  47.5 :   -19.0,  13.1,    7.3
    Galjoen 0.37.2             :    100 (  47,  26,  27),  60.0 :   +39.1,  12.0,   99.9
    BikJump 2.01               :    100 (  45,  32,  23),  61.0 :  +100.4,  13.7,  100.0
    Monarch 1.7                :    100 (  60,  17,  23),  68.5 :  +161.3,  14.6,  100.0
    Gerbil 02                  :    100 (  73,  10,  17),  78.0 :  +226.0,  13.5,  100.0
    Faile 1.4                  :    100 (  62,  26,  12),  75.0 :  +229.0,  13.4,  100.0
    TSCP 1.81                  :    100 (  88,  11,   1),  93.5 :  +453.8,  16.4,  100.0

48) Galjoen 0.37.2      2170.6 :   1100 (+433,=254,-413),  50.9 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (  10,  17,  73),  18.5 :  -288.3,  13.4,    0.0
    Myrddin 0.87               :    100 (  19,  19,  62),  28.5 :  -217.7,  11.7,    0.0
    Sungorus 1.4               :    100 (  20,  29,  51),  34.5 :  -139.4,  11.8,    0.0
    Waxman 2017                :    100 (  29,  19,  52),  38.5 :   -82.8,  13.1,    0.0
    Zevra 1.8.4                :    100 (  37,  23,  40),  48.5 :   -58.1,  12.0,    0.0
    Napoleon 1.8               :    100 (  27,  26,  47),  40.0 :   -39.1,  12.0,    0.1
    BikJump 2.01               :    100 (  39,  37,  24),  57.5 :   +61.2,  13.6,  100.0
    Monarch 1.7                :    100 (  60,  27,  13),  73.5 :  +122.2,  12.8,  100.0
    Gerbil 02                  :    100 (  56,  21,  23),  66.5 :  +186.9,  13.9,  100.0
    Faile 1.4                  :    100 (  53,  26,  21),  66.0 :  +189.9,  13.1,  100.0
    TSCP 1.81                  :    100 (  83,  10,   7),  88.0 :  +414.7,  16.2,  100.0

49) BikJump 2.01        2109.4 :   1100 (+362,=228,-510),  43.3 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (   6,  15,  79),  13.5 :  -349.5,  14.9,    0.0
    Myrddin 0.87               :    100 (   8,   9,  83),  12.5 :  -279.0,  13.8,    0.0
    Sungorus 1.4               :    100 (   9,  25,  66),  21.5 :  -200.6,  13.1,    0.0
    Waxman 2017                :    100 (  20,  17,  63),  28.5 :  -144.1,  15.1,    0.0
    Zevra 1.8.4                :    100 (  22,  24,  54),  34.0 :  -119.4,  13.4,    0.0
    Napoleon 1.8               :    100 (  23,  32,  45),  39.0 :  -100.4,  13.7,    0.0
    Galjoen 0.37.2             :    100 (  24,  37,  39),  42.5 :   -61.2,  13.6,    0.0
    Monarch 1.7                :    100 (  46,  14,  40),  53.0 :   +60.9,  14.5,  100.0
    Gerbil 02                  :    100 (  62,  21,  17),  72.5 :  +125.6,  15.0,  100.0
    Faile 1.4                  :    100 (  53,  27,  20),  66.5 :  +128.6,  15.1,  100.0
    TSCP 1.81                  :    100 (  89,   7,   4),  92.5 :  +353.4,  17.2,  100.0

50) Monarch 1.7         2048.5 :   1100 (+303,=185,-612),  36.0 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (   6,  12,  82),  12.0 :  -410.5,  14.3,    0.0
    Myrddin 0.87               :    100 (   6,  11,  83),  11.5 :  -339.9,  14.3,    0.0
    Sungorus 1.4               :    100 (  11,   9,  80),  15.5 :  -261.5,  13.4,    0.0
    Waxman 2017                :    100 (  12,  18,  70),  21.0 :  -205.0,  14.7,    0.0
    Zevra 1.8.4                :    100 (   9,  22,  69),  20.0 :  -180.3,  12.9,    0.0
    Napoleon 1.8               :    100 (  23,  17,  60),  31.5 :  -161.3,  14.6,    0.0
    Galjoen 0.37.2             :    100 (  13,  27,  60),  26.5 :  -122.2,  12.8,    0.0
    BikJump 2.01               :    100 (  40,  14,  46),  47.0 :   -60.9,  14.5,    0.0
    Gerbil 02                  :    100 (  51,  22,  27),  62.0 :   +64.7,  14.6,  100.0
    Faile 1.4                  :    100 (  52,  27,  21),  65.5 :   +67.7,  15.8,  100.0
    TSCP 1.81                  :    100 (  80,   6,  14),  83.0 :  +292.5,  16.8,  100.0

51) Gerbil 02           1983.8 :   1100 (+235,=162,-703),  28.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (   3,   9,  88),   7.5 :  -475.1,  16.2,    0.0
    Myrddin 0.87               :    100 (   6,   6,  88),   9.0 :  -404.6,  15.2,    0.0
    Sungorus 1.4               :    100 (   9,   7,  84),  12.5 :  -326.2,  14.8,    0.0
    Waxman 2017                :    100 (   8,  13,  79),  14.5 :  -269.7,  15.8,    0.0
    Zevra 1.8.4                :    100 (  12,  20,  68),  22.0 :  -245.0,  14.9,    0.0
    Napoleon 1.8               :    100 (  17,  10,  73),  22.0 :  -226.0,  13.5,    0.0
    Galjoen 0.37.2             :    100 (  23,  21,  56),  33.5 :  -186.9,  13.9,    0.0
    BikJump 2.01               :    100 (  17,  21,  62),  27.5 :  -125.6,  15.0,    0.0
    Monarch 1.7                :    100 (  27,  22,  51),  38.0 :   -64.7,  14.6,    0.0
    Faile 1.4                  :    100 (  41,  25,  34),  53.5 :    +3.0,  15.3,   57.8
    TSCP 1.81                  :    100 (  72,   8,  20),  76.0 :  +227.8,  16.1,  100.0

52) Faile 1.4           1980.8 :   1100 (+200,=225,-675),  28.4 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (   2,  15,  83),   9.5 :  -478.1,  14.1,    0.0
    Myrddin 0.87               :    100 (   3,  12,  85),   9.0 :  -407.6,  13.9,    0.0
    Sungorus 1.4               :    100 (   4,  10,  86),   9.0 :  -329.2,  13.8,    0.0
    Waxman 2017                :    100 (   9,  15,  76),  16.5 :  -272.7,  15.5,    0.0
    Zevra 1.8.4                :    100 (   9,  19,  72),  18.5 :  -248.0,  13.4,    0.0
    Napoleon 1.8               :    100 (  12,  26,  62),  25.0 :  -229.0,  13.4,    0.0
    Galjoen 0.37.2             :    100 (  21,  26,  53),  34.0 :  -189.9,  13.1,    0.0
    BikJump 2.01               :    100 (  20,  27,  53),  33.5 :  -128.6,  15.1,    0.0
    Monarch 1.7                :    100 (  21,  27,  52),  34.5 :   -67.7,  15.8,    0.0
    Gerbil 02                  :    100 (  34,  25,  41),  46.5 :    -3.0,  15.3,   42.2
    TSCP 1.81                  :    100 (  65,  23,  12),  76.5 :  +224.8,  16.3,  100.0

53) TSCP 1.81           1756.0 :   1100 (+65,=83,-952),   9.7 %

    vs.                        :  games (  +,  =,   -),   (%) :    Diff,    SD, CFS (%)
    Winter 0.1.1               :    100 (  0,  4,  96),   2.0 :  -702.9,  17.5,    0.0
    Myrddin 0.87               :    100 (  0,  1,  99),   0.5 :  -632.4,  17.1,    0.0
    Sungorus 1.4               :    100 (  1,  5,  94),   3.5 :  -554.0,  16.1,    0.0
    Waxman 2017                :    100 (  3,  4,  93),   5.0 :  -497.5,  16.3,    0.0
    Zevra 1.8.4                :    100 (  3,  4,  93),   5.0 :  -472.8,  14.7,    0.0
    Napoleon 1.8               :    100 (  1, 11,  88),   6.5 :  -453.8,  16.4,    0.0
    Galjoen 0.37.2             :    100 (  7, 10,  83),  12.0 :  -414.7,  16.2,    0.0
    BikJump 2.01               :    100 (  4,  7,  89),   7.5 :  -353.4,  17.2,    0.0
    Monarch 1.7                :    100 ( 14,  6,  80),  17.0 :  -292.5,  16.8,    0.0
    Gerbil 02                  :    100 ( 20,  8,  72),  24.0 :  -227.8,  16.1,    0.0
    Faile 1.4                  :    100 ( 12, 23,  65),  23.5 :  -224.8,  16.3,    0.0

