Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Gaia 3.5                  :    200 (   81,  36,  83),  49.5 :   +11.7,   9.1,   90.1
    Sungorus 1.4              :    200 (  123,  40,  37),  71.5 :  +130.8,   9.6,  100.0
    Napoleon 1.8              :    200 (  130,  42,  28),  75.5 :  +166.8,   9.6,  100.0
    Faile 1.4                 :    200 (  179,  19,   2),  94.3 :  +455.3,  11.2,  100.0
    Rustic Alpha 3.0.0        :    200 (  187,  10,   3),  96.0 :  +527.2,  12.0,  100.0
    Walleye 1.6.0             :    200 (  188,   7,   5),  95.8 :  +609.5,  12.8,  100.0
    TSCP 1.81                 :    200 (  196,   3,   1),  98.8 :  +709.5,  14.4,  100.0

43) Gaia 3.5           2444.7 :   2200 (+1258,=330,-612),  64.7 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   44,  31, 125),  29.8 :  -177.0,   8.7,    0.0
    Maverick 1.5              :    200 (   44,  48, 108),  34.0 :  -150.3,   8.6,    0.0
    Ghost 3.1                 :    200 (   74,  35,  91),  45.8 :   -47.5,   8.9,    0.0
    Cosette 5.1               :    200 (   67,  46,  87),  45.0 :   -44.1,   9.2,    0.0
    BikJump 3.1               :    200 (   83,  36,  81),  50.5 :   -11.7,   9.1,    9.9
    Sungorus 1.4              :    200 (  100,  41,  59),  60.3 :  +119.1,   9.4,  100.0
    Napoleon 1.8              :    200 (  114,  43,  43),  67.8 :  +155.1,   9.3,  100.0
    Faile 1.4                 :    200 (  173,  24,   3),  92.5 :  +443.6,  11.2,  100.0
    Rustic Alpha 3.0.0        :    200 (  179,   9,  12),  91.8 :  +515.5,  12.2,  100.0
    Walleye 1.6.0             :    200 (  189,   9,   2),  96.8 :  +597.8,  12.7,  100.0
    TSCP 1.81                 :    200 (  191,   8,   1),  97.5 :  +697.8,  14.3,  100.0

44) Sungorus 1.4       2325.7 :   2200 (+982,=347,-871),  52.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (  12,  36, 152),  15.0 :  -296.1,   9.3,    0.0
    Maverick 1.5              :    200 (  16,  27, 157),  14.8 :  -269.3,   9.4,    0.0
    Ghost 3.1                 :    200 (  36,  39, 125),  27.8 :  -166.6,   9.2,    0.0
    Cosette 5.1               :    200 (  27,  50, 123),  26.0 :  -163.2,   9.8,    0.0
    BikJump 3.1               :    200 (  37,  40, 123),  28.5 :  -130.8,   9.6,    0.0
    Gaia 3.5                  :    200 (  59,  41, 100),  39.8 :  -119.1,   9.4,    0.0
    Napoleon 1.8              :    200 (  77,  58,  65),  53.0 :   +36.0,   9.1,  100.0
    Faile 1.4                 :    200 ( 167,  24,   9),  89.5 :  +324.5,  10.9,  100.0
    Rustic Alpha 3.0.0        :    200 ( 181,  13,   6),  93.8 :  +396.4,  11.3,  100.0
    Walleye 1.6.0             :    200 ( 178,  12,  10),  92.0 :  +478.7,  12.4,  100.0
    TSCP 1.81                 :    200 ( 192,   7,   1),  97.8 :  +578.8,  13.7,  100.0

45) Napoleon 1.8       2289.6 :   2200 (+894,=368,-938),  49.0 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (  11,  27, 162),  12.3 :  -332.1,   9.3,    0.0
    Maverick 1.5              :    200 (   8,  23, 169),   9.8 :  -305.4,   9.3,    0.0
    Ghost 3.1                 :    200 (  35,  42, 123),  28.0 :  -202.6,   9.3,    0.0
    Cosette 5.1               :    200 (  28,  41, 131),  24.3 :  -199.2,   9.5,    0.0
    BikJump 3.1               :    200 (  28,  42, 130),  24.5 :  -166.8,   9.6,    0.0
    Gaia 3.5                  :    200 (  43,  43, 114),  32.3 :  -155.1,   9.3,    0.0
    Sungorus 1.4              :    200 (  65,  58,  77),  47.0 :   -36.0,   9.1,    0.0
    Faile 1.4                 :    200 ( 145,  43,  12),  83.3 :  +288.5,  10.8,  100.0
    Rustic Alpha 3.0.0        :    200 ( 174,  18,   8),  91.5 :  +360.4,  11.7,  100.0
    Walleye 1.6.0             :    200 ( 178,  14,   8),  92.5 :  +442.7,  12.4,  100.0
    TSCP 1.81                 :    200 ( 179,  17,   4),  93.8 :  +542.8,  13.9,  100.0

46) Faile 1.4          2001.1 :   2200 (+395,=304,-1501),  24.9 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   3,  18,  179),   6.0 :  -620.6,  11.3,    0.0
    Maverick 1.5              :    200 (   1,  11,  188),   3.3 :  -593.9,  11.2,    0.0
    Ghost 3.1                 :    200 (   3,  19,  178),   6.3 :  -491.1,  10.9,    0.0
    Cosette 5.1               :    200 (   3,  13,  184),   4.8 :  -487.7,  11.5,    0.0
    BikJump 3.1               :    200 (   2,  19,  179),   5.8 :  -455.3,  11.2,    0.0
    Gaia 3.5                  :    200 (   3,  24,  173),   7.5 :  -443.6,  11.2,    0.0
    Sungorus 1.4              :    200 (   9,  24,  167),  10.5 :  -324.5,  10.9,    0.0
    Napoleon 1.8              :    200 (  12,  43,  145),  16.8 :  -288.5,  10.8,    0.0
    Rustic Alpha 3.0.0        :    200 (  92,  59,   49),  60.8 :   +71.9,  10.9,  100.0
    Walleye 1.6.0             :    200 ( 129,  34,   37),  73.0 :  +154.2,  11.3,  100.0
    TSCP 1.81                 :    200 ( 138,  40,   22),  79.0 :  +254.3,  12.9,  100.0

47) Rustic Alpha 3.0.0 1929.3 :   2200 (+333,=205,-1662),  19.8 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   1,  13,  186),   3.8 :  -692.5,  12.1,    0.0
    Maverick 1.5              :    200 (   1,   5,  194),   1.8 :  -665.7,  11.8,    0.0
    Ghost 3.1                 :    200 (   1,   9,  190),   2.8 :  -563.0,  11.6,    0.0
    Cosette 5.1               :    200 (   2,   6,  192),   2.5 :  -559.6,  12.3,    0.0
    BikJump 3.1               :    200 (   3,  10,  187),   4.0 :  -527.2,  12.0,    0.0
    Gaia 3.5                  :    200 (  12,   9,  179),   8.3 :  -515.5,  12.2,    0.0
    Sungorus 1.4              :    200 (   6,  13,  181),   6.3 :  -396.4,  11.3,    0.0
    Napoleon 1.8              :    200 (   8,  18,  174),   8.5 :  -360.4,  11.7,    0.0
    Faile 1.4                 :    200 (  49,  59,   92),  39.3 :   -71.9,  10.9,    0.0
    Walleye 1.6.0             :    200 ( 109,  43,   48),  65.3 :   +82.3,  12.1,  100.0
    TSCP 1.81                 :    200 ( 141,  20,   39),  75.5 :  +182.4,  12.8,  100.0

48) Walleye 1.6.0      1846.9 :   2200 (+242,=152,-1806),  14.5 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   1,   3,  196),   1.3 :  -774.8,  12.9,    0.0
    Maverick 1.5              :    200 (   1,   3,  196),   1.3 :  -748.1,  12.5,    0.0
    Ghost 3.1                 :    200 (   1,   4,  195),   1.5 :  -645.3,  12.6,    0.0
    Cosette 5.1               :    200 (   1,   6,  193),   2.0 :  -641.9,  13.0,    0.0
    BikJump 3.1               :    200 (   5,   7,  188),   4.3 :  -609.5,  12.8,    0.0
    Gaia 3.5                  :    200 (   2,   9,  189),   3.3 :  -597.8,  12.7,    0.0
    Sungorus 1.4              :    200 (  10,  12,  178),   8.0 :  -478.7,  12.4,    0.0
    Napoleon 1.8              :    200 (   8,  14,  178),   7.5 :  -442.7,  12.4,    0.0
    Faile 1.4                 :    200 (  37,  34,  129),  27.0 :  -154.2,  11.3,    0.0
    Rustic Alpha 3.0.0        :    200 (  48,  43,  109),  34.8 :   -82.3,  12.1,    0.0
    TSCP 1.81                 :    200 ( 128,  17,   55),  68.3 :  +100.1,  12.3,  100.0

49) TSCP 1.81          1746.9 :   2200 (+130,=128,-1942),   8.8 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   1,   3,  196),   1.3 :  -874.8,  14.4,    0.0
    Maverick 1.5              :    200 (   0,   3,  197),   0.8 :  -848.1,  14.0,    0.0
    Ghost 3.1                 :    200 (   1,   4,  195),   1.5 :  -745.3,  13.8,    0.0
    Cosette 5.1               :    200 (   5,   6,  189),   4.0 :  -742.0,  14.2,    0.0
    BikJump 3.1               :    200 (   1,   3,  196),   1.3 :  -709.5,  14.4,    0.0
    Gaia 3.5                  :    200 (   1,   8,  191),   2.5 :  -697.8,  14.3,    0.0
    Sungorus 1.4              :    200 (   1,   7,  192),   2.3 :  -578.8,  13.7,    0.0
    Napoleon 1.8              :    200 (   4,  17,  179),   6.3 :  -542.8,  13.9,    0.0
    Faile 1.4                 :    200 (  22,  40,  138),  21.0 :  -254.3,  12.9,    0.0
    Rustic Alpha 3.0.0        :    200 (  39,  20,  141),  24.5 :  -182.4,  12.8,    0.0
    Walleye 1.6.0             :    200 (  55,  17,  128),  31.8 :  -100.1,  12.3,    0.0

  50 MadChess 3.2             :Removed from calculation
  51 BikJump 2.01             :Removed from calculation
  52 MadChess 3.2.2           :Removed from calculation
