Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
11) Minic 3.41         3551.4 :   3200 (+398,=1988,-814),  43.5 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,   93, 107),  23.3 :  -217.6,   7.3,    0.0
    Komodo Dragon 3.3         :    200 (   0,   97, 103),  24.3 :  -189.8,   7.2,    0.0
    Berserk 13                :    200 (   0,  106,  94),  26.5 :  -181.3,   7.3,    0.0
    RubiChess 20240817        :    200 (   1,  124,  75),  31.5 :  -142.6,   7.1,    0.0
    Ethereal 14.25            :    200 (   1,  123,  76),  31.3 :  -133.5,   7.1,    0.0
    Rebel 16.3                :    200 (   1,  148,  51),  37.5 :  -103.6,   6.2,    0.0
    rofChade 3.1              :    200 (   3,  145,  52),  37.8 :   -92.3,   6.8,    0.0
    Koivisto 9.0              :    200 (   2,  141,  57),  36.3 :   -92.0,   7.2,    0.0
    SlowChess 2.9             :    200 (  10,  152,  38),  43.0 :   -34.5,   7.2,    0.0
    Arasan 24.2.2             :    400 (  39,  287,  74),  45.6 :   -31.2,   6.3,    0.0
    Wasp 7.00                 :    400 (  79,  274,  47),  54.0 :   +30.3,   6.4,  100.0
    Texel 1.11                :    200 (  38,  139,  23),  53.8 :   +36.6,   8.0,  100.0
    Hiarcs 15.3.1             :    200 (  72,  113,  15),  64.3 :   +93.9,   7.4,  100.0
    Shredder 13               :    200 ( 152,   46,   2),  87.5 :  +323.3,   7.9,  100.0

12) Wasp 7.00          3521.1 :   3200 (+359,=1792,-1049),  39.2 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,   65,  135),  16.3 :  -247.8,   7.7,    0.0
    Komodo Dragon 3.3         :    200 (   0,   81,  119),  20.3 :  -220.1,   7.4,    0.0
    Berserk 13                :    200 (   0,   72,  128),  18.0 :  -211.6,   7.4,    0.0
    RubiChess 20240817        :    200 (   1,  107,   92),  27.3 :  -172.9,   7.5,    0.0
    Ethereal 14.25            :    200 (   2,   99,   99),  25.8 :  -163.8,   7.3,    0.0
    Rebel 16.3                :    200 (   1,  129,   70),  32.8 :  -133.9,   6.7,    0.0
    rofChade 3.1              :    200 (   5,  126,   69),  34.0 :  -122.5,   7.2,    0.0
