Head to head statistics:

 1) Stockfish 16.1     3804.3 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Hiarcs 15.3.1             :   1000 (  653,  331,   16),  81.8 :  +252.2,   3.4,  100.0

10) Shredder 14        3564.6 :   9791 (+483,=6213,-3095),  36.7 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    890 (   0,  366,  524),  20.6 :  -239.7,   3.6,    0.0
    Komodo Dragon 3.3         :    890 (   2,  430,  458),  24.4 :  -192.5,   3.7,    0.0
    Berserk 13                :    890 (   0,  445,  445),  25.0 :  -191.5,   3.6,    0.0
    RubiChess 20240817        :    891 (   3,  565,  323),  32.0 :  -145.4,   3.7,    0.0
    Ethereal 14.25            :    890 (  12,  546,  332),  32.0 :  -131.1,   3.5,    0.0
    Koivisto 9.0              :    890 (  26,  597,  267),  36.5 :   -91.9,   3.6,    0.0
    Rebel 16.3                :    890 (  33,  630,  227),  39.1 :   -85.4,   3.3,    0.0
    rofChade 3.1              :    890 (  50,  624,  216),  40.7 :   -74.0,   3.6,    0.0
    SlowChess 2.9             :    890 ( 107,  658,  125),  49.0 :    -0.0,   3.4,   49.8
    Arasan 24.2.2             :    890 ( 103,  683,  104),  49.9 :    +0.4,   3.2,   55.0
    Minic 3.41                :    890 ( 147,  669,   74),  54.1 :   +36.9,   3.4,  100.0

11) Arasan 24.2.2      3564.1 :  14792 (+2014,=9113,-3665),  44.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    891 (    0,  348,  543),  19.5 :  -240.1,   3.5,    0.0
    Komodo Dragon 3.3         :    891 (    7,  414,  470),  24.0 :  -192.9,   3.4,    0.0
    Berserk 13                :    890 (    3,  430,  457),  24.5 :  -191.9,   3.5,    0.0
    RubiChess 20240817        :    890 (    3,  543,  344),  30.8 :  -145.8,   3.4,    0.0
    Ethereal 14.25            :    890 (   10,  564,  316),  32.8 :  -131.5,   3.3,    0.0
    Koivisto 9.0              :    890 (   36,  586,  268),  37.0 :   -92.3,   3.4,    0.0
    Rebel 16.3                :    890 (   25,  626,  239),  38.0 :   -85.9,   2.8,    0.0
    rofChade 3.1              :    890 (   51,  601,  238),  39.5 :   -74.4,   3.3,    0.0
    SlowChess 2.9             :   1890 (  258, 1379,  253),  50.1 :    -0.4,   2.8,   43.9
    Shredder 14               :    890 (  104,  683,  103),  50.1 :    -0.4,   3.2,   45.0
    Minic 3.41                :   1890 (  399, 1271,  220),  54.7 :   +36.5,   2.9,  100.0
    Texel 1.11                :   1000 (  220,  689,   91),  56.5 :   +45.1,   3.5,  100.0
    Wasp 7.00                 :   1000 (  256,  658,   86),  58.5 :   +45.1,   3.5,  100.0
    Hiarcs 15.3.1             :   1000 (  642,  321,   37),  80.3 :  +251.8,   3.4,  100.0

12) Minic 3.41         3527.6 :  14792 (+1462,=8666,-4664),  39.2 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    891 (    1,  310,  580),  17.5 :  -276.7,   3.6,    0.0
    Komodo Dragon 3.3         :    890 (    2,  349,  539),  19.8 :  -229.4,   3.6,    0.0
    Berserk 13                :    890 (    0,  361,  529),  20.3 :  -228.5,   3.6,    0.0
    RubiChess 20240817        :    890 (    6,  446,  438),  25.7 :  -182.3,   3.4,    0.0
    Ethereal 14.25            :    890 (    6,  473,  411),  27.2 :  -168.1,   3.4,    0.0
    Koivisto 9.0              :    890 (   13,  570,  307),  33.5 :  -128.8,   3.4,    0.0
    Rebel 16.3                :    890 (    9,  579,  302),  33.5 :  -122.4,   2.8,    0.0
    rofChade 3.1              :    890 (   21,  569,  300),  34.3 :  -110.9,   3.4,    0.0
    SlowChess 2.9             :   1891 (  169, 1371,  351),  45.2 :   -37.0,   3.0,    0.0
    Shredder 14               :    890 (   74,  669,  147),  45.9 :   -36.9,   3.4,    0.0
    Arasan 24.2.2             :   1890 (  220, 1271,  399),  45.3 :   -36.5,   2.9,    0.0
    Texel 1.11                :   1000 (  192,  662,  146),  52.3 :    +8.5,   3.6,   99.2
    Wasp 7.00                 :   1000 (  163,  667,  170),  49.6 :    +8.5,   3.6,   99.2
    Hiarcs 15.3.1             :   1000 (  586,  369,   45),  77.0 :  +215.2,   3.6,  100.0

13) Texel 1.11         3519.1 :  14667 (+8603,=4939,-1125),  75.5 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    SlowChess 2.9             :   1000 (   93,  667,  240),  42.6 :   -45.5,   3.5,    0.0
    Arasan 24.2.2             :   1000 (   91,  689,  220),  43.5 :   -45.1,   3.5,    0.0
    Minic 3.41                :   1000 (  146,  662,  192),  47.7 :    -8.5,   3.6,    0.8
    Wasp 7.00                 :   1878 (  342, 1233,  303),  51.0 :    +0.0,   3.6,   50.3
    Hiarcs 15.3.1             :   1879 ( 1125,  656,   98),  77.3 :  +206.7,   3.5,  100.0
    Demolito 20211004         :    878 (  660,  194,   24),  86.2 :  +320.7,   4.1,  100.0
    Senpai 2.0                :    879 (  718,  153,    8),  90.4 :  +388.9,   4.2,  100.0
    iCE 4.0                   :    879 (  696,  173,   10),  89.0 :  +389.1,   3.4,  100.0
    Weiss 1.3                 :    879 (  718,  149,   12),  90.2 :  +394.6,   4.3,  100.0
    Orion 1.0                 :    879 (  728,  147,    4),  91.2 :  +460.7,   4.2,  100.0
    Rodent 4                  :    879 (  812,   63,    4),  96.0 :  +535.9,   4.5,  100.0
    Crafty 25.3               :    879 (  820,   55,    4),  96.4 :  +561.1,   4.1,  100.0
    Spike 1.4                 :    879 (  825,   52,    2),  96.8 :  +577.2,   4.0,  100.0
    Gaviota 1.0               :    879 (  829,   46,    4),  96.9 :  +591.0,   4.1,  100.0

14) Wasp 7.00          3519.1 :  14668 (+8630,=4886,-1152),  75.5 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    SlowChess 2.9             :   1000 (   94,  674,  232),  43.1 :   -45.5,   3.5,    0.0
    Arasan 24.2.2             :   1000 (   86,  658,  256),  41.5 :   -45.1,   3.5,    0.0
    Minic 3.41                :   1000 (  170,  667,  163),  50.4 :    -8.5,   3.6,    0.8
    Texel 1.11                :   1878 (  303, 1233,  342),  49.0 :    -0.0,   3.6,   49.7
    Hiarcs 15.3.1             :   1879 ( 1131,  662,   86),  77.8 :  +206.7,   3.5,  100.0
    Demolito 20211004         :    879 (  680,  173,   26),  87.2 :  +320.7,   4.1,  100.0
    Senpai 2.0                :    879 (  725,  141,   13),  90.5 :  +388.9,   4.1,  100.0
    iCE 4.0                   :    879 (  715,  154,   10),  90.1 :  +389.1,   3.3,  100.0
    Weiss 1.3                 :    879 (  722,  151,    6),  90.7 :  +394.6,   4.2,  100.0
    Orion 1.0                 :    879 (  722,  156,    1),  91.0 :  +460.7,   4.1,  100.0
    Rodent 4                  :    879 (  799,   74,    6),  95.1 :  +535.9,   4.3,  100.0
    Crafty 25.3               :    879 (  817,   56,    6),  96.1 :  +561.1,   4.0,  100.0
    Spike 1.4                 :    879 (  823,   54,    2),  96.7 :  +577.2,   3.9,  100.0
    Gaviota 1.0               :    879 (  843,   33,    3),  97.8 :  +590.9,   3.9,  100.0

15) Hiarcs 15.3.1      3312.4 :  14668 (+5541,=4618,-4509),  53.5 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
