Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (   6,  17,  77),  14.5 :  -356.9,  12.7,    0.0
    Hermann 2.8               :    100 (   3,  21,  76),  13.5 :  -254.9,  13.1,    0.0
    Maverick 1.5              :    100 (   6,  24,  70),  18.0 :  -231.0,  12.3,    0.0
    Cosette 5.1               :    100 (  14,  25,  61),  26.5 :  -154.0,  12.5,    0.0
    BikJump 3.1               :    100 (  17,  24,  59),  29.0 :  -138.6,  12.1,    0.0
    Gaia 3.5                  :    100 (  30,  22,  48),  41.0 :  -127.8,  12.2,    0.0
    Napoleon 1.8              :    100 (  43,  29,  28),  57.5 :   +32.5,  12.3,   99.6
    Faile 1.4                 :    100 (  77,  22,   1),  88.0 :  +349.1,  15.2,  100.0
    Rustic Alpha 3.0.0        :    100 (  88,   8,   4),  92.0 :  +397.6,  15.5,  100.0
    Walleye 1.6.0             :    100 (  82,  10,   8),  87.0 :  +424.9,  16.5,  100.0
    TSCP 1.81                 :    100 (  99,   1,   0),  99.5 :  +587.5,  19.1,  100.0

44) Napoleon 1.8       2261.5 :   1100 (+424,=217,-459),  48.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (   6,  19,  75),  15.5 :  -389.3,  12.6,    0.0
    Hermann 2.8               :    100 (   6,  21,  73),  16.5 :  -287.4,  13.2,    0.0
    Maverick 1.5              :    100 (   5,  19,  76),  14.5 :  -263.5,  12.2,    0.0
    Cosette 5.1               :    100 (  11,  24,  65),  23.0 :  -186.5,  12.2,    0.0
    BikJump 3.1               :    100 (  13,  29,  58),  27.5 :  -171.1,  12.8,    0.0
    Gaia 3.5                  :    100 (  12,  30,  58),  27.0 :  -160.3,  11.8,    0.0
    Sungorus 1.4              :    100 (  28,  29,  43),  42.5 :   -32.5,  12.3,    0.4
    Faile 1.4                 :    100 (  87,  10,   3),  92.0 :  +316.6,  15.1,  100.0
    Rustic Alpha 3.0.0        :    100 (  84,  11,   5),  89.5 :  +365.1,  15.8,  100.0
    Walleye 1.6.0             :    100 (  83,  14,   3),  90.0 :  +392.4,  15.9,  100.0
    TSCP 1.81                 :    100 (  89,  11,   0),  94.5 :  +555.0,  18.4,  100.0

45) Faile 1.4          1944.9 :   1100 (+179,=140,-781),  22.6 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (   1,   6,  93),   4.0 :  -706.0,  15.8,    0.0
    Hermann 2.8               :    100 (   1,   3,  96),   2.5 :  -604.0,  16.2,    0.0
    Maverick 1.5              :    100 (   0,   7,  93),   3.5 :  -580.1,  15.6,    0.0
    Cosette 5.1               :    100 (   2,   8,  90),   6.0 :  -503.1,  15.5,    0.0
    BikJump 3.1               :    100 (   1,   7,  92),   4.5 :  -487.8,  15.6,    0.0
    Gaia 3.5                  :    100 (   3,   5,  92),   5.5 :  -476.9,  15.7,    0.0
    Sungorus 1.4              :    100 (   1,  22,  77),  12.0 :  -349.1,  15.2,    0.0
    Napoleon 1.8              :    100 (   3,  10,  87),   8.0 :  -316.6,  15.1,    0.0
    Rustic Alpha 3.0.0        :    100 (  48,  30,  22),  63.0 :   +48.5,  14.7,   99.9
    Walleye 1.6.0             :    100 (  46,  25,  29),  58.5 :   +75.8,  14.3,  100.0
    TSCP 1.81                 :    100 (  73,  17,  10),  81.5 :  +238.3,  16.8,  100.0

46) Rustic Alpha 3.0.0 1896.4 :   1100 (+152,=120,-828),  19.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (   2,   4,  94),   4.0 :  -754.5,  15.8,    0.0
    Hermann 2.8               :    100 (   0,   5,  95),   2.5 :  -652.5,  16.6,    0.0
    Maverick 1.5              :    100 (   1,   4,  95),   3.0 :  -628.6,  16.1,    0.0
    Cosette 5.1               :    100 (   0,   7,  93),   3.5 :  -551.6,  16.2,    0.0
    BikJump 3.1               :    100 (   3,   2,  95),   4.0 :  -536.2,  15.7,    0.0
    Gaia 3.5                  :    100 (   2,   5,  93),   4.5 :  -525.4,  15.6,    0.0
    Sungorus 1.4              :    100 (   4,   8,  88),   8.0 :  -397.6,  15.5,    0.0
    Napoleon 1.8              :    100 (   5,  11,  84),  10.5 :  -365.1,  15.8,    0.0
    Faile 1.4                 :    100 (  22,  30,  48),  37.0 :   -48.5,  14.7,    0.1
    Walleye 1.6.0             :    100 (  46,  29,  25),  60.5 :   +27.3,  14.4,   97.1
    TSCP 1.81                 :    100 (  67,  15,  18),  74.5 :  +189.9,  16.3,  100.0

47) Walleye 1.6.0      1869.1 :   1100 (+133,=118,-849),  17.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (   0,   3,  97),   1.5 :  -781.7,  16.7,    0.0
    Hermann 2.8               :    100 (   0,   0, 100),   0.0 :  -679.8,  17.3,    0.0
    Maverick 1.5              :    100 (   0,   2,  98),   1.0 :  -655.9,  16.6,    0.0
    Cosette 5.1               :    100 (   2,   2,  96),   3.0 :  -578.9,  16.6,    0.0
    BikJump 3.1               :    100 (   2,   8,  90),   6.0 :  -563.5,  16.6,    0.0
    Gaia 3.5                  :    100 (   1,   6,  93),   4.0 :  -552.7,  16.5,    0.0
    Sungorus 1.4              :    100 (   8,  10,  82),  13.0 :  -424.9,  16.5,    0.0
    Napoleon 1.8              :    100 (   3,  14,  83),  10.0 :  -392.4,  15.9,    0.0
    Faile 1.4                 :    100 (  29,  25,  46),  41.5 :   -75.8,  14.3,    0.0
    Rustic Alpha 3.0.0        :    100 (  25,  29,  46),  39.5 :   -27.3,  14.4,    2.9
    TSCP 1.81                 :    100 (  63,  19,  18),  72.5 :  +162.6,  16.5,  100.0

48) TSCP 1.81          1706.5 :   1100 (+47,=83,-970),   8.0 %

    vs.                       :  games (  +,  =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (  0,  2,  98),   1.0 :  -944.3,  19.0,    0.0
    Hermann 2.8               :    100 (  0,  3,  97),   1.5 :  -842.4,  20.0,    0.0
    Maverick 1.5              :    100 (  0,  3,  97),   1.5 :  -818.5,  19.1,    0.0
    Cosette 5.1               :    100 (  1,  7,  92),   4.5 :  -741.5,  18.8,    0.0
    BikJump 3.1               :    100 (  0,  2,  98),   1.0 :  -726.1,  19.1,    0.0
    Gaia 3.5                  :    100 (  0,  3,  97),   1.5 :  -715.3,  18.6,    0.0
    Sungorus 1.4              :    100 (  0,  1,  99),   0.5 :  -587.5,  19.1,    0.0
    Napoleon 1.8              :    100 (  0, 11,  89),   5.5 :  -555.0,  18.4,    0.0
    Faile 1.4                 :    100 ( 10, 17,  73),  18.5 :  -238.3,  16.8,    0.0
    Rustic Alpha 3.0.0        :    100 ( 18, 15,  67),  25.5 :  -189.9,  16.3,    0.0
    Walleye 1.6.0             :    100 ( 18, 19,  63),  27.5 :  -162.6,  16.5,    0.0

