Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    rofChade 3.1              :    100 (   3,   83,  14),  44.5 :   -44.8,   9.2,    0.0
    Koivisto 9.0              :    100 (   1,   92,   7),  47.0 :   -30.4,   9.4,    0.1
    SlowChess 2.9             :    100 (   4,   91,   5),  49.5 :    -9.9,   9.4,   14.5
    Minic 3.41                :    200 (  28,  170,   2),  56.5 :   +42.7,   8.1,  100.0
    Wasp 7.00                 :    200 (  35,  162,   3),  58.0 :   +62.0,   8.3,  100.0
    Texel 1.11                :    100 (  23,   76,   1),  61.0 :   +77.1,  10.3,  100.0
    Hiarcs 15.3.1             :    100 (  48,   50,   2),  73.0 :  +204.9,   9.9,  100.0
    Shredder 13               :    100 (  63,   36,   1),  81.0 :  +272.7,  10.2,  100.0

11) Minic 3.41         3443.7 :   1600 (+150,=1124,-326),  44.5 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (   0,   57,  43),  28.5 :  -163.7,   9.5,    0.0
    Komodo Dragon 3.3         :    100 (   0,   63,  37),  31.5 :  -147.2,   9.2,    0.0
    Berserk 13                :    100 (   0,   61,  39),  30.5 :  -145.7,   9.2,    0.0
    RubiChess 20240817        :    100 (   0,   67,  33),  33.5 :  -118.8,   9.4,    0.0
    Ethereal 14.25            :    100 (   1,   70,  29),  36.0 :  -114.6,   9.7,    0.0
    Rebel 16.3                :    100 (   0,   71,  29),  35.5 :   -96.3,   8.4,    0.0
    rofChade 3.1              :    100 (   0,   79,  21),  39.5 :   -87.6,   9.4,    0.0
    Koivisto 9.0              :    100 (   1,   80,  19),  41.0 :   -73.2,   9.1,    0.0
    SlowChess 2.9             :    100 (   2,   84,  14),  44.0 :   -52.7,   9.3,    0.0
    Arasan 24.2.2             :    200 (   2,  170,  28),  43.5 :   -42.7,   8.1,    0.0
    Wasp 7.00                 :    200 (  20,  157,  23),  49.3 :   +19.2,   8.3,   99.0
    Texel 1.11                :    100 (  10,   81,   9),  50.5 :   +34.3,  10.3,  100.0
    Hiarcs 15.3.1             :    100 (  47,   52,   1),  73.0 :  +162.1,   9.6,  100.0
    Shredder 13               :    100 (  67,   32,   1),  83.0 :  +230.0,   9.8,  100.0

12) Wasp 7.00          3424.5 :   1600 (+131,=1072,-397),  41.7 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (   0,   53,  47),  26.5 :  -182.9,   9.3,    0.0
    Komodo Dragon 3.3         :    100 (   0,   53,  47),  26.5 :  -166.5,   9.2,    0.0
    Berserk 13                :    100 (   0,   49,  51),  24.5 :  -164.9,   9.1,    0.0
    RubiChess 20240817        :    100 (   0,   66,  34),  33.0 :  -138.1,   9.7,    0.0
    Ethereal 14.25            :    100 (   0,   61,  39),  30.5 :  -133.9,   9.6,    0.0
    Rebel 16.3                :    100 (   2,   60,  38),  32.0 :  -115.5,   8.5,    0.0
    rofChade 3.1              :    100 (   1,   64,  35),  33.0 :  -106.8,   9.3,    0.0
    Koivisto 9.0              :    100 (   0,   74,  26),  37.0 :   -92.4,   9.3,    0.0
    SlowChess 2.9             :    100 (   3,   84,  13),  45.0 :   -71.9,   9.0,    0.0
    Arasan 24.2.2             :    200 (   3,  162,  35),  42.0 :   -62.0,   8.3,    0.0
    Minic 3.41                :    200 (  23,  157,  20),  50.8 :   -19.2,   8.3,    1.0
    Texel 1.11                :    100 (   9,   83,   8),  50.5 :   +15.1,  10.1,   93.2
    Hiarcs 15.3.1             :    100 (  35,   63,   2),  66.5 :  +142.9,   9.6,  100.0
    Shredder 13               :    100 (  55,   43,   2),  76.5 :  +210.7,  10.1,  100.0

13) Texel 1.11         3409.4 :   1600 (+894,=646,-60),  76.1 %

    vs.                       :  games (   +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    100 (   1,  76, 23),  39.0 :   -77.1,  10.3,    0.0
    Minic 3.41                :    100 (   9,  81, 10),  49.5 :   -34.3,  10.3,    0.0
    Wasp 7.00                 :    100 (   8,  83,  9),  49.5 :   -15.1,  10.1,    6.8
    Hiarcs 15.3.1             :    200 (  71, 117, 12),  64.8 :  +127.8,   9.5,  100.0
    Shredder 13               :    200 ( 107,  90,  3),  76.0 :  +195.6,   9.7,  100.0
    Demolito 20211004         :    100 (  61,  37,  2),  79.5 :  +272.6,  11.1,  100.0
    iCE 4.0                   :    100 (  70,  30,  0),  85.0 :  +309.4,   9.2,  100.0
    Weiss 1.3                 :    100 (  72,  28,  0),  86.0 :  +313.5,  11.2,  100.0
    Orion 1.0                 :    100 (  67,  32,  1),  83.0 :  +315.8,  10.9,  100.0
    Senpai 2.0                :    100 (  69,  31,  0),  84.5 :  +345.4,  11.2,  100.0
    Rodent 4                  :    100 (  87,  13,  0),  93.5 :  +399.1,  11.0,  100.0
    Spike 1.4                 :    100 (  87,  13,  0),  93.5 :  +451.6,  10.8,  100.0
    Crafty 25.3               :    100 (  92,   8,  0),  96.0 :  +461.9,  10.8,  100.0
    Gaviota 1.0               :    100 (  93,   7,  0),  96.5 :  +535.0,  11.0,  100.0

14) Hiarcs 15.3.1      3281.6 :   1600 (+599,=769,-232),  61.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    100 (   2,  50,  48),  27.0 :  -204.9,   9.9,    0.0
    Minic 3.41                :    100 (   1,  52,  47),  27.0 :  -162.1,   9.6,    0.0
    Wasp 7.00                 :    100 (   2,  63,  35),  33.5 :  -142.9,   9.6,    0.0
    Texel 1.11                :    200 (  12, 117,  71),  35.3 :  -127.8,   9.5,    0.0
    Shredder 13               :    200 (  36, 147,  17),  54.8 :   +67.8,   9.0,  100.0
    Demolito 20211004         :    100 (  50,  48,   2),  74.0 :  +144.9,  10.5,  100.0
    iCE 4.0                   :    100 (  49,  51,   0),  74.5 :  +181.6,   8.6,  100.0
    Weiss 1.3                 :    100 (  48,  52,   0),  74.0 :  +185.7,  10.4,  100.0
    Orion 1.0                 :    100 (  52,  38,  10),  71.0 :  +188.0,  10.0,  100.0
    Senpai 2.0                :    100 (  55,  44,   1),  77.0 :  +217.6,  10.2,  100.0
    Rodent 4                  :    100 (  64,  36,   0),  82.0 :  +271.4,  10.4,  100.0
    Spike 1.4                 :    100 (  74,  26,   0),  87.0 :  +323.8,   9.8,  100.0
    Crafty 25.3               :    100 (  75,  25,   0),  87.5 :  +334.1,  10.0,  100.0
    Gaviota 1.0               :    100 (  79,  20,   1),  89.0 :  +407.2,  10.1,  100.0

15) Shredder 13        3213.8 :   1600 (+472,=752,-376),  53.0 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    100 (   1,  36,  63),  19.0 :  -272.7,  10.2,    0.0
    Minic 3.41                :    100 (   1,  32,  67),  17.0 :  -230.0,   9.8,    0.0
    Wasp 7.00                 :    100 (   2,  43,  55),  23.5 :  -210.7,  10.1,    0.0
    Texel 1.11                :    200 (   3,  90, 107),  24.0 :  -195.6,   9.7,    0.0
    Hiarcs 15.3.1             :    200 (  17, 147,  36),  45.3 :   -67.8,   9.0,    0.0
    Demolito 20211004         :    100 (  33,  56,  11),  61.0 :   +77.0,  10.1,  100.0
    iCE 4.0                   :    100 (  42,  51,   7),  67.5 :  +113.8,   8.6,  100.0
    Weiss 1.3                 :    100 (  34,  59,   7),  63.5 :  +117.9,   9.7,  100.0
