Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,  137,  63),  34.3 :  -104.5,   7.3,    0.0
    Komodo Dragon 3.3         :    200 (   0,  151,  49),  37.8 :   -93.6,   7.2,    0.0
    Berserk 13                :    200 (   0,  161,  39),  40.3 :   -77.9,   7.1,    0.0
    RubiChess 20240817        :    200 (   4,  169,  27),  44.3 :   -48.5,   7.1,    0.0
    Ethereal 14.25            :    200 (   1,  175,  24),  44.3 :   -43.9,   7.0,    0.0
    Rebel 16.3                :    200 (   8,  173,  19),  47.3 :   -30.2,   6.7,    0.0
    rofChade 3.1              :    200 (   5,  187,   8),  49.3 :    -6.7,   7.2,   17.9
    Arasan 24.2.2             :    200 (  24,  170,   6),  54.5 :   +39.0,   6.9,  100.0
    SlowChess 2.9             :    200 (  20,  172,   8),  53.0 :   +39.6,   6.9,  100.0
    Minic 3.41                :    200 (  46,  148,   6),  60.0 :   +80.4,   6.8,  100.0
    Wasp 7.00                 :    200 (  64,  132,   4),  65.0 :  +101.7,   6.8,  100.0

 9) Arasan 24.2.2      3580.7 :   3200 (+478,=2295,-427),  50.8 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,  123,  77),  30.8 :  -143.5,   7.0,    0.0
    Komodo Dragon 3.3         :    200 (   0,  126,  74),  31.5 :  -132.6,   6.8,    0.0
    Berserk 13                :    200 (   1,  145,  54),  36.8 :  -116.9,   6.7,    0.0
    RubiChess 20240817        :    200 (   0,  162,  38),  40.5 :   -87.5,   6.8,    0.0
    Ethereal 14.25            :    200 (   3,  159,  38),  41.3 :   -82.9,   6.7,    0.0
    Rebel 16.3                :    200 (   5,  163,  32),  43.3 :   -69.3,   6.1,    0.0
    rofChade 3.1              :    200 (   6,  166,  28),  44.5 :   -45.7,   6.9,    0.0
    Koivisto 9.0              :    200 (   6,  170,  24),  45.5 :   -39.0,   6.9,    0.0
    SlowChess 2.9             :    200 (  18,  167,  15),  50.8 :    +0.6,   6.5,   53.9
    Minic 3.41                :    400 (  66,  313,  21),  55.6 :   +41.4,   5.9,  100.0
    Wasp 7.00                 :    400 (  90,  295,  15),  59.4 :   +62.7,   6.2,  100.0
    Texel 1.11                :    200 (  34,  163,   3),  57.8 :  +109.9,   7.7,  100.0
    Hiarcs 15.3.1             :    200 ( 111,   84,   5),  76.5 :  +246.7,   7.8,  100.0
    Shredder 13               :    200 ( 138,   59,   3),  83.8 :  +331.4,   7.6,  100.0

10) SlowChess 2.9      3580.1 :   2200 (+93,=1673,-434),  42.3 %

    vs.                       :  games (  +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (  0,  131,  69),  32.8 :  -144.1,   7.1,    0.0
    Komodo Dragon 3.3         :    200 (  0,  116,  84),  29.0 :  -133.3,   6.9,    0.0
    Berserk 13                :    200 (  0,  133,  67),  33.3 :  -117.6,   6.9,    0.0
    RubiChess 20240817        :    200 (  0,  159,  41),  39.8 :   -88.1,   6.9,    0.0
    Ethereal 14.25            :    200 (  1,  144,  55),  36.5 :   -83.6,   6.7,    0.0
    Rebel 16.3                :    200 (  6,  171,  23),  45.8 :   -69.9,   6.7,    0.0
    rofChade 3.1              :    200 (  2,  166,  32),  42.5 :   -46.3,   7.0,    0.0
    Koivisto 9.0              :    200 (  8,  172,  20),  47.0 :   -39.6,   6.9,    0.0
    Arasan 24.2.2             :    200 ( 15,  167,  18),  49.3 :    -0.6,   6.5,   46.1
    Minic 3.41                :    200 ( 33,  156,  11),  55.5 :   +40.7,   6.4,  100.0
    Wasp 7.00                 :    200 ( 28,  158,  14),  53.5 :   +62.0,   6.6,  100.0

11) Minic 3.41         3539.4 :   3200 (+362,=2144,-694),  44.8 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,  100, 100),  25.0 :  -184.9,   6.9,    0.0
    Komodo Dragon 3.3         :    200 (   0,  104,  96),  26.0 :  -174.0,   6.7,    0.0
    Berserk 13                :    200 (   0,  122,  78),  30.5 :  -158.3,   7.0,    0.0
    RubiChess 20240817        :    200 (   0,  138,  62),  34.5 :  -128.9,   6.7,    0.0
    Ethereal 14.25            :    200 (   0,  140,  60),  35.0 :  -124.3,   6.5,    0.0
    Rebel 16.3                :    200 (   0,  157,  43),  39.3 :  -110.6,   6.1,    0.0
    rofChade 3.1              :    200 (   2,  145,  53),  37.3 :   -87.0,   6.6,    0.0
    Koivisto 9.0              :    200 (   6,  148,  46),  40.0 :   -80.4,   6.8,    0.0
    Arasan 24.2.2             :    400 (  21,  313,  66),  44.4 :   -41.4,   5.9,    0.0
    SlowChess 2.9             :    200 (  11,  156,  33),  44.5 :   -40.7,   6.4,    0.0
    Wasp 7.00                 :    400 (  45,  315,  40),  50.6 :   +21.3,   6.1,  100.0
    Texel 1.11                :    200 (  36,  155,   9),  56.8 :   +68.6,   7.5,  100.0
    Hiarcs 15.3.1             :    200 (  99,   95,   6),  73.3 :  +205.3,   7.8,  100.0
    Shredder 13               :    200 ( 142,   56,   2),  85.0 :  +290.1,   7.6,  100.0

12) Wasp 7.00          3518.1 :   3200 (+354,=1966,-880),  41.8 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,   92, 108),  23.0 :  -206.2,   7.3,    0.0
    Komodo Dragon 3.3         :    200 (   1,   80, 119),  20.5 :  -195.3,   6.9,    0.0
    Berserk 13                :    200 (   0,   94, 106),  23.5 :  -179.6,   7.1,    0.0
