Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (  10,  34, 156),  13.5 :  -318.3,   8.9,    0.0
    Maverick 1.5              :    200 (   9,  45, 146),  15.8 :  -254.4,   8.5,    0.0
    Hermann 2.8               :    200 (  18,  50, 132),  21.5 :  -244.4,   9.5,    0.0
    Cosette 5.1               :    200 (  26,  50, 124),  25.5 :  -159.5,   8.9,    0.0
    Gaia 3.5                  :    200 (  53,  36, 111),  35.5 :  -127.7,   8.8,    0.0
    BikJump 3.1               :    200 (  51,  43, 106),  36.3 :  -123.0,   8.9,    0.0
    Napoleon 1.8              :    200 (  81,  59,  60),  55.3 :   +52.5,   9.1,  100.0
    Faile 1.4                 :    200 ( 165,  27,   8),  89.3 :  +340.8,  10.8,  100.0
    Rustic Alpha 3.0.0        :    200 ( 174,  18,   8),  91.5 :  +406.8,  11.5,  100.0
    Walleye 1.6.0             :    200 ( 177,  14,   9),  92.0 :  +481.2,  12.0,  100.0
    TSCP 1.81                 :    200 ( 194,   4,   2),  98.0 :  +594.9,  13.2,  100.0

44) Napoleon 1.8       2283.1 :   2200 (+842,=395,-963),  47.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   9,  35, 156),  13.3 :  -370.8,   9.4,    0.0
    Maverick 1.5              :    200 (  12,  32, 156),  14.0 :  -306.9,   9.0,    0.0
    Hermann 2.8               :    200 (  12,  41, 147),  16.3 :  -296.9,  10.2,    0.0
    Cosette 5.1               :    200 (  14,  45, 141),  18.3 :  -212.0,   9.1,    0.0
    Gaia 3.5                  :    200 (  43,  39, 118),  31.3 :  -180.2,   9.0,    0.0
    BikJump 3.1               :    200 (  22,  48, 130),  23.0 :  -175.5,   9.3,    0.0
    Sungorus 1.4              :    200 (  60,  59,  81),  44.8 :   -52.5,   9.1,    0.0
    Faile 1.4                 :    200 ( 151,  34,  15),  84.0 :  +288.3,  11.0,  100.0
    Rustic Alpha 3.0.0        :    200 ( 160,  27,  13),  86.8 :  +354.3,  11.0,  100.0
    Walleye 1.6.0             :    200 ( 177,  18,   5),  93.0 :  +428.7,  11.7,  100.0
    TSCP 1.81                 :    200 ( 182,  17,   1),  95.3 :  +542.4,  13.2,  100.0

45) Faile 1.4          1994.8 :   2200 (+388,=286,-1526),  24.1 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   3,  12,  185),   4.5 :  -659.2,  10.9,    0.0
    Maverick 1.5              :    200 (   2,  14,  184),   4.5 :  -595.2,  11.2,    0.0
    Hermann 2.8               :    200 (   1,   7,  192),   2.3 :  -585.2,  11.7,    0.0
    Cosette 5.1               :    200 (   3,  17,  180),   5.8 :  -500.3,  11.3,    0.0
    Gaia 3.5                  :    200 (   5,  16,  179),   6.5 :  -468.6,  11.2,    0.0
    BikJump 3.1               :    200 (   3,  23,  174),   7.3 :  -463.8,  11.2,    0.0
    Sungorus 1.4              :    200 (   8,  27,  165),  10.8 :  -340.8,  10.8,    0.0
    Napoleon 1.8              :    200 (  15,  34,  151),  16.0 :  -288.3,  11.0,    0.0
    Rustic Alpha 3.0.0        :    200 (  90,  55,   55),  58.8 :   +66.0,  10.9,  100.0
    Walleye 1.6.0             :    200 ( 118,  41,   41),  69.3 :  +140.3,  11.0,  100.0
    TSCP 1.81                 :    200 ( 140,  40,   20),  80.0 :  +254.0,  11.8,  100.0

46) Rustic Alpha 3.0.0 1928.8 :   2200 (+319,=224,-1657),  19.6 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   1,   8,  191),   2.5 :  -725.2,  11.8,    0.0
    Maverick 1.5              :    200 (   0,   7,  193),   1.8 :  -661.2,  11.6,    0.0
    Hermann 2.8               :    200 (   1,   8,  191),   2.5 :  -651.2,  12.1,    0.0
    Cosette 5.1               :    200 (   2,  11,  187),   3.8 :  -566.3,  11.7,    0.0
    Gaia 3.5                  :    200 (   4,   7,  189),   3.8 :  -534.6,  11.4,    0.0
    BikJump 3.1               :    200 (   1,   9,  190),   2.8 :  -529.8,  11.6,    0.0
    Sungorus 1.4              :    200 (   8,  18,  174),   8.5 :  -406.8,  11.5,    0.0
    Napoleon 1.8              :    200 (  13,  27,  160),  13.3 :  -354.3,  11.0,    0.0
    Faile 1.4                 :    200 (  55,  55,   90),  41.3 :   -66.0,  10.9,    0.0
    Walleye 1.6.0             :    200 ( 104,  41,   55),  62.3 :   +74.3,  10.5,  100.0
    TSCP 1.81                 :    200 ( 130,  33,   37),  73.3 :  +188.0,  11.9,  100.0

47) Walleye 1.6.0      1854.4 :   2200 (+237,=178,-1785),  14.8 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   0,   5,  195),   1.3 :  -799.5,  12.1,    0.0
    Maverick 1.5              :    200 (   0,   1,  199),   0.3 :  -735.6,  12.3,    0.0
    Hermann 2.8               :    200 (   1,   4,  195),   1.5 :  -725.6,  12.7,    0.0
    Cosette 5.1               :    200 (   1,   4,  195),   1.5 :  -640.6,  12.2,    0.0
    Gaia 3.5                  :    200 (   4,  10,  186),   4.5 :  -608.9,  12.1,    0.0
    BikJump 3.1               :    200 (   5,   5,  190),   3.8 :  -604.2,  12.3,    0.0
    Sungorus 1.4              :    200 (   9,  14,  177),   8.0 :  -481.2,  12.0,    0.0
    Napoleon 1.8              :    200 (   5,  18,  177),   7.0 :  -428.7,  11.7,    0.0
    Faile 1.4                 :    200 (  41,  41,  118),  30.8 :  -140.3,  11.0,    0.0
    Rustic Alpha 3.0.0        :    200 (  55,  41,  104),  37.8 :   -74.3,  10.5,    0.0
    TSCP 1.81                 :    200 ( 116,  35,   49),  66.8 :  +113.7,  11.7,  100.0

48) TSCP 1.81          1740.7 :   2200 (+112,=149,-1939),   8.5 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   0,   4,  196),   1.0 :  -913.2,  13.3,    0.0
    Maverick 1.5              :    200 (   0,   0,  200),   0.0 :  -849.3,  13.5,    0.0
    Hermann 2.8               :    200 (   0,   1,  199),   0.3 :  -839.3,  14.0,    0.0
    Cosette 5.1               :    200 (   1,   3,  196),   1.3 :  -754.3,  13.3,    0.0
    Gaia 3.5                  :    200 (   1,   4,  195),   1.5 :  -722.6,  13.0,    0.0
    BikJump 3.1               :    200 (   1,   8,  191),   2.5 :  -717.9,  13.0,    0.0
    Sungorus 1.4              :    200 (   2,   4,  194),   2.0 :  -594.9,  13.2,    0.0
    Napoleon 1.8              :    200 (   1,  17,  182),   4.8 :  -542.4,  13.2,    0.0
    Faile 1.4                 :    200 (  20,  40,  140),  20.0 :  -254.0,  11.8,    0.0
    Rustic Alpha 3.0.0        :    200 (  37,  33,  130),  26.8 :  -188.0,  11.9,    0.0
    Walleye 1.6.0             :    200 (  49,  35,  116),  33.3 :  -113.7,  11.7,    0.0

